life_expectancy,infant_deaths,hiv_aids,gdp_capita,schooling,percentage_expenditure,alcohol
61.1,2,6.2,6346.15624,12.3,547.0386679,Consumed
59.2,2,9,5185.729845,12.2,426.7855662,Consumed
57.5,2,12.7,5623.379566,12.1,476.8625872,Consumed
56.9,2,13.4,5714.47937,12.1,512.5887995,Consumed
54.8,2,14.4,5374.554867,11.9,76.31867911,Consumed
51.7,2,20.6,5351.253732,11.9,629.8425643,Consumed
48.1,2,28.4,4896.583835,11.8,469.5823898,Consumed
46.4,2,31.9,4163.6596,11.8,299.3671252,Consumed
46,2,34.6,355.618382,11.9,6.3300072,Consumed
46.7,2,37.2,3128.97793,11.8,306.9527349,Consumed
47.8,2,38.8,3349.68823,11.7,250.8916484,Consumed
74.8,44,0.1,1226.61731,15.2,83.16465362,Consumed
74.7,46,0.1,12216.9446,14.2,916.270845,Consumed
74.5,49,0.1,12291.46685,14.2,843.1946259,Consumed
74.1,51,0.1,13167.47289,14,1084.999766,Consumed
73.8,54,0.1,11224.1548,13.8,1111.191325,Consumed
73.6,57,0.1,8553.3847,13.8,564.5233902,Consumed
73.4,61,0.1,8787.61375,13.3,526.3780636,Consumed
73.3,65,0.1,7313.557962,13.5,394.9321299,Consumed
73,70,0.1,586.145975,13.8,30.30374691,Consumed
72.7,75,0.1,477.182746,13.8,23.76370075,Consumed
72,81,0.1,3623.47667,14,186.6090485,Consumed
71.8,88,0.1,359.587582,14.8,15.85781237,Consumed
71.4,95,0.1,2819.649531,14.6,140.9824766,Consumed
71,103,0.1,3146.95177,14.3,149.4802091,Consumed
75,111,0.1,3739.11936,14.1,179.4777293,Consumed
59.3,39,0.6,75.1464113,7.7,8.386339501,Negligible
59,40,0.7,699.452847,7.5,88.97040214,Consumed
58.6,41,0.8,673.8227,7.2,78.76987363,Consumed
58.1,42,0.9,666.842783,6.7,85.55592906,Consumed
57.5,43,1,575.4464527,6.3,90.46018236,Consumed
56.9,44,1.1,552.7455521,5.9,81.14304705,Consumed
56.1,45,1.5,569.7612784,5.4,107.7988339,Consumed
55.3,46,1.7,475.11122,4.9,73.92730583,Consumed
54.3,47,2,422.6332374,4.7,64.24025208,Consumed
59.1,22,0.7,312.7489794,10.6,41.25159038,Negligible
58.6,22,1,282.7555252,10.5,40.15128458,Negligible
58,22,1.2,265.285651,10.3,38.73170505,Negligible
57.4,22,1.5,26.479973,9.9,3.595980333,Consumed
56.8,23,1.9,231.1943256,9.3,31.14187566,Consumed
56.2,23,2.4,24.944652,8.6,2.030494673,Consumed
55.3,23,2.9,196.2472628,7.9,15.99415192,Consumed
54.8,24,3.4,17.79995,7.2,1.72659515,Consumed
54.1,24,3.8,165.8794176,5.9,21.24915339,Consumed
53.4,24,4.3,15.57434,5.6,1.747440948,Consumed
52.6,24,4.8,127.4296648,5.2,11.22655347,Consumed
73,0,0.2,3529.61843,13.5,414.0242418,Negligible
72.8,0,0.2,3558.796314,13.6,325.6298627,Negligible
72.7,0,0.3,348.482762,13.2,33.55888998,Negligible
72.6,0,0.3,367.429453,13.1,4.409153436,Consumed
72.5,0,0.4,3312.825985,12.7,286.8907303,Consumed
72.4,0,0.4,3444.5566,12.4,339.9777364,Consumed
72.4,0,0.4,3638.95946,12.2,360.6208825,Consumed
72.3,0,0.6,3112.285712,11.9,345.463714,Consumed
72.1,0,0.6,234.28992,11.9,26.45133197,Consumed
71.8,0,0.8,248.13459,11.2,3.349816965,Consumed
71.4,0,0.8,1976.45856,11.1,240.139715,Consumed
71.1,0,0.9,1768.92132,11.3,209.0865,Consumed
77,0,0.8,1373.515636,11.3,155.2072669,Consumed
68.3,11,0.2,198.687123,10.9,12.17952064,Negligible
67.8,11,0.2,128.419568,10.8,8.758214538,Negligible
67.4,12,0.3,95.244132,10.7,6.914723983,Negligible
67,13,0.3,882.491462,10.7,60.18591771,Consumed
66.6,14,0.5,785.6928841,10.6,56.88416481,Consumed
66.1,15,0.6,738.2326684,10.5,48.35423978,Consumed
65.6,16,0.7,745.7877873,10.5,53.10009046,Consumed
65,16,0.9,631.675789,10.3,57.73516711,Consumed
64.1,17,1.1,539.8791529,10.1,51.50447119,Consumed
56.7,47,3.7,1441.1417,10.4,61.39263642,Negligible
56.4,48,4,1365.34419,10.4,63.07890158,Negligible
55.9,50,4.6,1255.648189,10.4,68.55839112,Negligible
55.6,51,4.9,1295.649726,10,83.18071241,Consumed
55.3,53,5.5,1182.869227,9.7,100.8987451,Consumed
54.8,54,6.3,123.19538,9.2,9.042540892,Consumed
54.2,56,6.7,1233.524316,8.8,68.7073044,Consumed
53.6,57,7,111.71186,8,7.562892922,Consumed
53.3,58,7.2,12.989164,8.2,0.962497052,Consumed
52.8,58,7.4,952.1872484,8.3,73.03276195,Consumed
82,2,0.1,544.43376,15.9,102.1902168,Consumed
81.8,2,0.1,52413.72116,15.9,9733.228019,Consumed
81.6,2,0.1,52496.69487,15.9,9748.636237,Consumed
81.5,2,0.1,5282.2176,15.9,971.9280384,Consumed
81.2,2,0.1,47447.4762,15.9,8649.674911,Consumed
81,2,0.1,4773.45436,15.9,864.94993,Consumed
87,2,0.1,46596.33599,15.8,8433.936814,Consumed
85,2,0.1,44544.5268,15.8,7946.743581,Consumed
85,2,0.1,4386.69948,15.8,771.1817686,Consumed
81,2,0.1,36189.58838,15.8,6333.177967,Consumed
80,2,0.1,31979.87195,15.8,5513.329924,Consumed
79.7,2,0.1,28172.14883,15.8,4687.845565,Consumed
58,15,4.5,377.132274,7.1,53.43964323,Negligible
49.9,16,5.1,337.4849614,7.1,52.37766601,Negligible
53,16,5.1,486.41114,7.1,7.344808214,Negligible
49.8,16,5.8,494.336779,6.8,58.52947463,Consumed
49.2,17,6.6,446.4434494,6.6,43.48359197,Consumed
48.6,17,7.3,449.961839,6.4,40.45156933,Consumed
52.6,46,2.9,125.998515,7.3,11.3020668,Negligible
52.2,46,3.1,986.13177,7.3,76.52382535,Negligible
51.8,46,3.6,973.472574,7.3,57.8242709,Negligible
51.6,46,3.9,989.2363633,6.7,67.76269089,Negligible
51.2,46,4.1,896.5697341,6.7,43.57328908,Negligible
57,46,4.4,84.455939,6.3,4.982900401,Negligible
49.6,46,4.7,929.772391,6,49.09198224,Negligible
83,2,0.1,14817.37778,16.2,2352.999591,Consumed
81,2,0.1,15941.39722,15.6,2442.222054,Consumed
79.9,2,0.1,15431.9293,15.5,2260.777642,Consumed
79.8,2,0.1,1475.69242,15.4,211.614293,Consumed
79.1,2,0.1,1286.17764,15.2,177.4925143,Consumed
79.3,2,0.1,1243.32824,15.3,181.525923,Consumed
79.6,2,0.1,1781.3668,15.2,241.5533381,Consumed
78.9,2,0.1,1526.87746,14.8,209.4875875,Consumed
78.9,2,0.1,9484.681227,14.9,1275.689625,Consumed
75.8,171,0.1,7683.5238,13.1,109.8743903,Consumed
75.6,185,0.1,777.77594,12.7,9.955532032,Consumed
75.4,201,0.1,6337.882993,12.4,94.4344566,Consumed
75.2,215,0.1,5633.79616,12.8,91.26749779,Consumed
75,231,0.1,456.512487,12.5,5.660754839,Consumed
74.9,248,0.1,3838.434292,12.2,50.28348923,Consumed
74.5,266,0.1,3471.247547,11.9,39.22509728,Consumed
74.4,285,0.1,2695.366223,11.4,312.6624819,Consumed
74.2,307,0.1,299.229676,11,29.74342979,Consumed
73.9,332,0.1,1753.4178,10.6,171.6596026,Consumed
73.5,360,0.1,158.668462,10.2,1.58668462,Consumed
73.1,391,0.1,1288.642924,9.9,122.9365349,Consumed
72.7,422,0.1,1148.5857,9.7,106.3590358,Consumed
72.2,457,0.1,153.1824,9.6,14.23064496,Consumed
71.7,490,0.1,959.372181,9.5,17.46057369,Consumed
74.6,11,0.1,7913.383432,13.6,1435.487755,Consumed
74.4,11,0.1,83.5863,13.3,15.16255482,Consumed
74.3,11,0.1,7884.984429,13.2,1487.896562,Consumed
74.2,12,0.1,7227.73968,13,184.3073618,Consumed
73.6,12,0.1,625.65544,12.8,113.2436346,Consumed
73.6,13,0.1,5148.422113,12.4,941.6464045,Consumed
73.5,14,0.1,5433.7245,12.2,978.07041,Consumed
73.5,14,0.1,4674.21961,11.9,780.5946749,Consumed
73.1,15,0.1,379.78776,11.5,62.43710774,Consumed
73.1,15,0.1,3386.256,11.1,531.9808176,Consumed
72.8,16,0.1,274.249442,11.3,42.17956418,Consumed
72.4,16,0.1,2246.257472,11.6,417.8038898,Consumed
71.8,17,0.1,2355.725857,11.5,393.8773633,Consumed
71.5,17,0.1,2395.856551,11.4,404.4205858,Consumed
71.4,18,0.1,2472.197831,11.3,477.1341814,Consumed
63.2,1,0.8,852.954379,11.1,73.86584922,Negligible
62.9,1,0.8,834.341949,10.9,61.57443584,Negligible
62.5,2,0.8,788.632653,10.8,78.39008571,Negligible
62.2,2,0.2,829.7586885,10.6,59.6596497,Negligible
61.8,2,0.1,769.1742883,10.5,47.30421873,Negligible
61.3,2,0.1,778.5454199,10.3,56.98952474,Negligible
61,2,0.1,795.97519,10.2,93.36788979,Negligible
66,2,0.1,72.759313,10,9.087638194,Negligible
63,2,0.1,648.38717,9.9,77.0283958,Negligible
60,2,0.1,621.93372,9.7,69.9675435,Negligible
59.8,2,0.1,616.4197236,9.5,7.212110766,Negligible
59.6,2,0.1,544.566526,9.2,45.09010835,Negligible
79.5,1,0.1,1647.44179,13.9,384.5129138,Consumed
79.4,1,0.1,1569.66631,13.7,386.1379123,Consumed
79.2,1,0.1,9985.36959,13.6,2568.237059,Consumed
79,1,0.1,9186.59639,13.4,2429.854745,Consumed
78.1,1,0.1,8199.414621,13.3,2377.010299,Consumed
79.2,1,0.1,689.396224,13.1,24.88720369,Consumed
78.9,1,0.1,6911.136136,12.9,1859.095621,Consumed
78.9,1,0.1,612.623418,12.8,150.8891479,Consumed
78,1,0.1,5245.187372,12.6,1185.412346,Consumed
78.6,1,0.1,4697.11135,12.4,1002.833273,Consumed
77.7,1,0.1,4425.57467,12.2,1043.10795,Consumed
78,1,0.1,4167.71417,12.1,1070.268999,Consumed
78.3,1,0.1,462.14965,11.9,112.9493745,Consumed
77.5,1,0.1,3981.52847,11.7,868.3713593,Consumed
77.6,1,0.1,388.363689,11.6,94.17819458,Consumed
63,1,2.1,174.91511,6.3,24.73299655,Negligible
62.7,1,2.1,1622.637974,6.3,229.4410095,Negligible
62.2,1,1.9,1536.15685,6.3,217.2125786,Negligible
61.8,1,2.7,143.986898,5.9,20.35974738,Negligible
61.3,1,3.1,1325.99724,5.5,187.4960097,Negligible
69,1,3.2,1253.657431,5.3,177.2671607,Negligible
62,1,3.3,1214.77118,5,171.7686449,Negligible
59.8,1,3.5,147.586896,4.5,20.86878709,Negligible
73.6,6,0.3,6268.692122,13.2,1088.244952,Consumed
73.4,6,0.3,627.55544,13.2,97.52211538,Consumed
72.1,6,0.4,5968.876767,13.1,857.1307037,Consumed
73.1,6,0.7,5759.643,13,843.7876995,Consumed
72.7,6,0.9,5451.6696,12.9,664.5585242,Consumed
73.6,6,1.2,4952.67753,12.9,587.8828228,Consumed
73.3,6,1.4,511.37937,12.8,49.09241952,Consumed
72.9,6,1.6,4647.31359,12.7,74.8217488,Consumed
72.3,7,1.8,3836.468771,12.6,352.9551269,Consumed
69.7,7,2,3681.5993,12.6,289.7418649,Consumed
69.3,7,2.1,2421.9662,12.5,182.6162515,Consumed
73,7,2.3,2372.628827,12.4,293.0196601,Consumed
71.4,7,2.4,38.46578,12.3,4.67359227,Consumed
71.2,7,2.5,2862.154836,12.3,340.0239945,Consumed
72,7,2.5,282.4242,12.2,44.79247812,Consumed
76,6,0.1,6432.216537,14,79.11626341,Consumed
76,6,0.1,674.9829,13.4,59.12850204,Consumed
75.5,7,0.1,572.14313,13.3,41.88087712,Consumed
75.3,7,0.1,5223.351763,13.2,344.7412164,Consumed
75,7,0.1,4657.32361,13.1,367.9285652,Consumed
75.1,7,0.1,4255.56571,13.1,282.1440066,Consumed
74.6,7,0.1,4274.95265,13,197.9303077,Consumed
74.7,7,0.2,359.71886,12.9,19.60467787,Consumed
74.4,8,0.3,335.786541,12.8,19.13983284,Consumed
74.2,8,0.3,321.942547,12.8,18.09317114,Consumed
74.4,8,0.3,278.557892,12.7,16.37920405,Consumed
74.4,8,0.3,244.46898,12.6,18.26183281,Consumed
73.6,8,0.3,2183.966796,12.5,187.3843511,Consumed
73.4,9,0.3,193.741571,12.4,14.5887403,Consumed
72.8,9,0.3,1451.29776,12.4,84.17527008,Consumed
73.3,2,0.2,3988.771871,13.2,665.7260253,Consumed
73,2,0.2,3895.664491,13.2,653.6925016,Consumed
73,2,0.3,3827.786267,13.2,591.7757569,Consumed
72,2,0.3,3736.58713,13,549.2783081,Consumed
72,2,0.3,3474.392445,12.9,469.3904193,Consumed
71.4,2,0.3,3366.482133,12.8,416.4338399,Consumed
71.7,2,0.3,357.347674,13.4,53.95949877,Consumed
71.2,2,0.3,334.83817,12.9,52.30172215,Consumed
75,3,0.2,362.951768,12.9,57.74562629,Consumed
71,3,0.2,2835.281237,12.7,440.6027042,Consumed
70,3,0.3,2632.79942,12.4,398.6058322,Consumed
69.9,3,0.3,2519.737387,12,400.1342971,Consumed
73,3,0.4,248.4125,11.8,29.68529375,Consumed
68.9,4,0.4,2338.772244,11.6,332.1056586,Consumed
69,4,0.4,2238.4116,11.3,353.6690328,Consumed
57.9,3,4.4,192.59733,9.2,13.40477417,Negligible
62.9,6,0.7,582.775532,5,20.97991915,Negligible
62.1,6,0.9,482.14994,5.1,17.35739784,Negligible
61.4,6,1,43.7544499,5.2,1.575160196,Negligible
67,6,1.1,326.825642,5.2,11.76572311,Negligible
62,6,1.3,317.3294336,5.3,11.42385961,Consumed
59.7,7,1.4,297.828588,5.3,10.60269773,Negligible
59.4,7,1.6,276.75896,5.4,5.064688968,Negligible
59.1,7,1.8,287.4222243,5,10.26097341,Negligible
58.8,7,1.9,232.7945459,4.7,6.913998013,Negligible
58.5,7,1.9,21.7687981,4.4,0.703132179,Negligible
77.3,0,0.1,19941.45532,16.5,2700.07305,Negligible
76.9,0,0.1,1929.7746,16.5,261.2914808,Negligible
76.3,0,0.1,17421.8922,16.5,2263.103797,Negligible
76.1,0,0.1,17454.84342,16.4,2146.945741,Negligible
75.6,0,0.1,14638.6482,16.2,1802.017593,Consumed
74.9,0,0.1,14726.31828,16.1,1717.088711,Consumed
74.2,0,0.1,1894.5485,16.1,225.0723618,Consumed
73,0,0.1,16586.452,16.1,1904.12469,Consumed
73,0,0.1,12595.4165,16.1,244.3510801,Consumed
72.8,0,0.1,1338.31322,15.9,153.5045263,Consumed
72.3,0,0.1,885.465115,15.7,101.1201161,Consumed
64.2,140,0.6,571.1622759,8.4,89.95805845,Negligible
63.7,145,0.9,52.1535887,8.4,8.313282039,Consumed
63.3,150,1.2,468.567249,8.4,86.82551124,Consumed
62.6,156,1.4,354.8463544,8.2,67.77565369,Consumed
61.8,162,1.7,341.39992,8.1,67.73374413,Consumed
68,169,2,379.7566385,8.1,53.77354001,Consumed
59.8,177,2.4,325.3825543,7.6,38.55783268,Consumed
58.5,186,2.8,243.326822,7.1,30.46451811,Negligible
69.7,0,0.1,546.3728,15.2,50.539484,Negligible
69.6,0,0.1,4763.68956,15,460.6487805,Negligible
69.4,0,0.1,4546.73854,14.9,431.4854874,Negligible
69.2,0,0.1,4353.121392,14.7,401.7931045,Negligible
69.1,0,0.1,3651.966784,14.6,62.08343533,Consumed
68.9,0,0.1,3369.48247,14.5,60.65068446,Consumed
68.7,0,0.1,4177.657789,14.3,81.04656111,Consumed
68.6,0,0.1,478.82327,14.2,5.889526221,Consumed
68.5,0,0.1,3749.939813,14,52.1241634,Consumed
68.3,0,0.1,3658.63832,13.9,64.39203443,Consumed
68.1,0,0.1,3332.918533,13.4,43.99452464,Consumed
68,0,0.1,2835.973972,13.3,253.8196705,Consumed
67.9,0,0.1,2259.55796,13.3,206.071686,Consumed
67.8,0,0.1,238.891729,13.2,20.7119129,Consumed
67.7,0,0.1,276.1338,13.1,31.25834616,Consumed
82.2,3,0.1,42955.24287,16.2,6739.677606,Consumed
82,3,0.1,42554.1225,16.2,6646.953935,Consumed
81.5,3,0.1,4838.2444,16.1,751.3793553,Consumed
81.7,3,0.1,4381.288,16.1,683.9190568,Consumed
81.3,3,0.1,473.34279,16,72.8001211,Consumed
81.1,3,0.1,41631.13141,16,6415.35735,Consumed
89,3,0.1,45413.6571,16.1,7002.785925,Consumed
89,3,0.1,416.58397,16.1,64.73714894,Consumed
86,3,0.1,36544.5853,16.1,5689.991931,Consumed
81,3,0.1,34879.72633,15.5,5451.701225,Consumed
82,3,0.1,33874.74255,15.5,5291.234786,Consumed
79.3,3,0.1,29691.18158,15.4,4572.441963,Consumed
79.2,3,0.1,24275.2426,15.5,3779.655273,Consumed
79,3,0.1,22527.31775,15.6,3451.185079,Consumed
78.8,3,0.1,22465.64184,15.7,3410.284431,Consumed
65.5,2,2.8,9692.163874,12.6,715.2816939,Negligible
64.6,2,3.7,9679.742995,12.5,154.8758879,Consumed
63.5,2,4.9,9774.18117,12.5,805.3925284,Consumed
62.8,2,6,1716.2258,12.5,133.5223672,Consumed
